Schools,Colleges,Hospitals,Gyms,Boys_Hostels,Girls_Hostels,Turfs,Parking_Spaces,Competitors,Rent_Cost,Daily_Footfall,Avg_Income,Shop_Area_SqFt,Dist_To_Transit,Best_Shop_Type,Area_Type,Dominant_Age_Group
6.0,5.0,2.0,5.0,9.0,2.0,0.0,0.0,1.0,10810.0,2300.0,31138.0,436.0,1608.0,Stationery,Semi-Urban,Kids
3.0,3.0,1.0,4.0,0.0,0.0,1.0,17.0,0.0,76546.0,6069.0,75324.0,2502.0,,Supermarket,Rural,Kids
7.0,2.0,2.0,1.0,3.0,0.0,2.0,9.0,6.0,64978.0,,116898.0,1112.0,1791.0,Fast Food,Rural,Kids
4.0,3.0,3.0,3.0,8.0,7.0,4.0,23.0,1.0,39847.0,6641.0,57682.0,1094.0,172.0,Pharmacy,Urban,Adults
6.0,4.0,2.0,3.0,7.0,7.0,1.0,19.0,5.0,23685.0,1683.0,86825.0,3980.0,88.0,Supermarket,Urban,Kids
2.0,3.0,0.0,0.0,2.0,1.0,3.0,29.0,6.0,50281.0,5838.0,23629.0,886.0,1575.0,Clothing Store,Semi-Urban,Kids
6.0,1.0,5.0,2.0,9.0,7.0,3.0,25.0,0.0,22958.0,2972.0,146687.0,652.0,1980.0,Clothing Store,Rural,Teens
7.0,5.0,5.0,1.0,5.0,1.0,4.0,2.0,8.0,11141.0,9726.0,149620.0,3546.0,1390.0,Beauty Parlor,Urban,Seniors
4.0,5.0,0.0,1.0,8.0,4.0,2.0,13.0,5.0,51666.0,7604.0,71333.0,425.0,692.0,Fast Food,Rural,Adults
3.0,1.0,0.0,4.0,9.0,0.0,4.0,7.0,1.0,14030.0,2663.0,48779.0,3890.0,192.0,Barber Shop,Urban,Seniors
7.0,5.0,0.0,5.0,7.0,8.0,1.0,15.0,0.0,17541.0,9432.0,30911.0,1134.0,1963.0,Stationery,Rural,Teens
7.0,3.0,4.0,4.0,9.0,3.0,2.0,17.0,0.0,38484.0,12037.0,88203.0,582.0,57.0,Pharmacy,Semi-Urban,Seniors
2.0,4.0,2.0,5.0,4.0,9.0,3.0,8.0,1.0,30678.0,3579.0,79099.0,391.0,814.0,Stationery,Urban,Adults
5.0,0.0,0.0,1.0,8.0,1.0,2.0,3.0,8.0,66224.0,12046.0,34531.0,550.0,139.0,Barber Shop,Rural,Seniors
4.0,1.0,5.0,2.0,8.0,0.0,2.0,26.0,1.0,11100.0,11516.0,129789.0,2656.0,1413.0,Supermarket,Semi-Urban,Adults
1.0,3.0,1.0,3.0,2.0,5.0,2.0,24.0,0.0,52430.0,13301.0,113033.0,3066.0,1635.0,Supermarket,Semi-Urban,Adults
7.0,3.0,1.0,0.0,7.0,7.0,4.0,0.0,3.0,13497.0,,121886.0,392.0,115.0,Pet Grooming,Semi-Urban,Kids
5.0,3.0,4.0,5.0,3.0,3.0,0.0,20.0,8.0,19886.0,13758.0,26588.0,825.0,850.0,Bakery,Urban,Kids
1.0,0.0,2.0,3.0,9.0,0.0,1.0,25.0,7.0,69569.0,7969.0,,413.0,226.0,Clothing Store,,Adults
4.0,2.0,2.0,0.0,6.0,0.0,,22.0,6.0,33664.0,12152.0,46832.0,3693.0,450.0,Supermarket,Urban,Teens
0.0,5.0,2.0,2.0,9.0,5.0,2.0,13.0,7.0,64507.0,3199.0,116063.0,2487.0,346.0,Beauty Parlor,Semi-Urban,Kids
5.0,5.0,5.0,1.0,7.0,1.0,4.0,10.0,1.0,65158.0,14495.0,34838.0,2852.0,580.0,Pharmacy,Rural,Teens
8.0,4.0,5.0,2.0,6.0,4.0,1.0,3.0,4.0,36464.0,11165.0,49631.0,3376.0,1304.0,Stationery,Urban,Kids
0.0,2.0,4.0,5.0,4.0,1.0,1.0,27.0,6.0,40718.0,13654.0,65787.0,1585.0,1533.0,Supermarket,Urban,Kids
2.0,5.0,2.0,1.0,0.0,8.0,3.0,27.0,0.0,22667.0,10086.0,75846.0,3672.0,60.0,Supermarket,Semi-Urban,Seniors
6.0,4.0,2.0,4.0,7.0,1.0,1.0,20.0,5.0,75122.0,6091.0,129385.0,1387.0,109.0,Clothing Store,Urban,Seniors
3.0,4.0,0.0,0.0,4.0,4.0,1.0,15.0,6.0,20601.0,14993.0,76832.0,1915.0,70.0,Supermarket,Urban,Kids
8.0,3.0,2.0,4.0,2.0,3.0,2.0,26.0,7.0,64088.0,14887.0,135378.0,2005.0,,Supermarket,,
2.0,1.0,5.0,1.0,1.0,,0.0,8.0,4.0,29909.0,1988.0,31870.0,2008.0,1932.0,Pharmacy,Rural,Teens
,3.0,0.0,0.0,2.0,9.0,2.0,21.0,7.0,12806.0,3874.0,120601.0,2787.0,1224.0,Supermarket,Rural,Adults
2.0,0.0,0.0,0.0,8.0,8.0,4.0,28.0,9.0,14552.0,7191.0,75007.0,2364.0,1664.0,Supermarket,,Kids
,5.0,2.0,4.0,1.0,2.0,1.0,13.0,0.0,74809.0,5177.0,143701.0,2125.0,558.0,Supermarket,,Seniors
4.0,4.0,1.0,0.0,9.0,9.0,0.0,5.0,3.0,67761.0,2323.0,96179.0,2640.0,647.0,Pet Grooming,Rural,Seniors
,1.0,3.0,1.0,0.0,7.0,2.0,,5.0,,5333.0,64380.0,3410.0,574.0,Stationery,Semi-Urban,Adults
6.0,5.0,5.0,5.0,1.0,3.0,3.0,0.0,3.0,39466.0,7455.0,23364.0,3087.0,735.0,Stationery,Rural,Kids
,4.0,1.0,5.0,1.0,8.0,4.0,19.0,4.0,55996.0,4995.0,54936.0,3318.0,358.0,Supermarket,Semi-Urban,Adults
